business_name,phone,website,cta_url,address,rating,reviews,has_website,maps_url,email,instagram,about_text
Reform Athletica Jumeirah,; 1775382374; 1721386654,http://www.reformathletica.com/,http://www.reformathletica.com/,,4.5,38,yes,https://www.google.com/maps/place/Reform+Athletica+Jumeirah/data=!4m7!3m6!1s0x3e5f424698108a65:0xf02cb46f1c95da5f!8m2!3d25.218058!4d55.253208!16s%2Fg%2F11f3zk06zs!19sChIJZYoQmEZCXz4RX9qVHG-0LPA?authuser=0&hl=en&rclk=1,info@reformathletica.com,reformathletica,"REFORM ATHLETICA
Reform Athletica
Login / Sign Up
About Us
The Team
Classes
Schedule
Contact
Book
Buy
Home
About us
About Reform Athletica
About Us

If you want to discover new and challenging ways to move while unlocking new strengths in a friendly and motivating environment, then we welcome you to Reform Athletica, your new home.

Reform Athletica is a boutique fitness studio inspired by the vibrant fitness scenes of New York, London and LA. Currently located in two locations in Dubai’s Jumeirah 1 and DIFC's ICD Brookfield Place – the studio is located perfectly between the urban city bustle and Dubai’s beautiful beaches.

We are boutique; we are not a gym, and we are not priced like a gym. Our classes are capped at 14 people, depending on the class. We have five signature classes: The Reform Method, MicroForm, RA Strength, Yoga and Sculpt and Burn. Each of our classes are designed to complement one another; between low-intensity, high-intensity, stretching, strength and conditioning - we have it covered. 

Our classes are 45-60 minutes long and we do not distinguish between skill levels; beginners and advanced participants are all equally welcome and no prior experience is required for any class. Our instructors will modify exercises or demonstrate alternatives to ensure that you get the most out of your session, no matter your gender or level of experience.

Our Art

Upon entering either of our studios, you’ll notice we’ve tried to create a space that truly feels like home. The owners, having a long-time passion for art and culture have collected art pieces from around the world for the studio, giving the space a unique flair. There is a story behind every piece – whether it was a personal connection they had that drew them to add it to their collection, or its interpretation is in alignment with our core values as a studio. Whether the former or the latter, each piece is beautiful– from the inside out.

Our Commitment to Sustainability

Sustainability and going"
Ultimate Athletics,,https://ultimateathleticsuae.com/,https://ultimateathleticsuae.com/,,4.5,4,yes,https://www.google.com/maps/place/Ultimate+Athletics/data=!4m7!3m6!1s0x3e5f5f2d6e080f89:0x781fc7f38601e314!8m2!3d25.310306!4d55.486654!16s%2Fg%2F11yx9m85x8!19sChIJiQ8Ibi1fXz4RFOMBhvPHH3g?authuser=0&hl=en&rclk=1,,,
GymNation Bur Dubai | Best Gym In Bur Dubai,; 053953580; 1669518396,https://gymnation.com/gymsnearme/bur-dubai/,https://gymnation.com/gymsnearme/bur-dubai/,,4.5,2,yes,https://www.google.com/maps/place/GymNation+Bur+Dubai+%7C+Best+Gym+In+Bur+Dubai/data=!4m7!3m6!1s0x3e5f43c42c2ebb6b:0xfe6111fc061923cc!8m2!3d25.25007!4d55.30067!16s%2Fg%2F11gy3jnpz1!19sChIJa7suLMRDXz4RzCMZBvwRYf4?authuser=0&hl=en&rclk=1,,gymnation_me,"PAGE NOT FOUND
SORRY BUT WE COULDN'T FIND THE PAGE YOU WERE LOOKING FOR

To contact us please visit your nearest GymNation location and the team at reception will be able to assist you further.

 

The GymNation reception staff can assist with all inquiries including joining GymNation, cancellations, issues with your membership payments, finding the perfect PT and showing you how to use the GymNation app. 

 

All GymNation locations are open 24/7.

 

To find your nearest GymNation location, please visit the GymNation location finder page.

 

Other Support

 

1) View the GymNation Class Timetable.

2) Apply for a job at GymNation.

3) Register for your FREE PT Session.

4) Register for your FREE BLITZ High-Intensity Class.

5) Read our FAQ's
6) Contact GymNation

SIGN UP FOR YOUR FREE DAY PASS TODAY!
SELECT LOCATION

SUBMIT

HOMEPAGE

Find out more about GymNation!

 
GYM MEMBERSHIP

Join GymNation TODAY!

 
GYMNATION CLASSES

400+ FREE Classes!

 
THE GYMNATION BLOG

Health, Wellness and Nutrition Tips!"
The Warehouse Gym - Al Quoz,; 811653883636360; 610698078,http://whgym.com/,http://whgym.com/,,4.5,723,yes,https://www.google.com/maps/place/The+Warehouse+Gym+-+Al+Quoz/data=!4m7!3m6!1s0x3e5f6bc21a5b0f63:0x750ec1967705cd3!8m2!3d25.1181504!4d55.2098914!16s%2Fg%2F12m9b_sbp!19sChIJYw9bGsJrXz4R01xwZxnsUAc?authuser=0&hl=en&rclk=1,info@whgym.com; emt@whgym.com,whgym,
Binous Gym | Best Bodybuilding Gym in Dubai | Best Gym Dubai | Most Famous Gym Dubai | Most Expensive Bodybuilding Gym,; 2026-04-03; 2015-05-28,https://binousgym.com/,https://binousgym.com/,,4.5,261,yes,https://www.google.com/maps/place/Binous+Gym+%7C+Best+Bodybuilding+Gym+in+Dubai+%7C+Best+Gym+Dubai+%7C+Most+Famous+Gym+Dubai+%7C+Most+Expensive+Bodybuilding+Gym/data=!4m7!3m6!1s0x3e5f6beb3c2d0129:0x54a2568440ac8b8f!8m2!3d25.1375842!4d55.2206836!16s%2Fg%2F11fsr7lr17!19sChIJKQEtPOtrXz4Rj4usQIRWolQ?authuser=0&hl=en&rclk=1,info@binousgym.com,binousclassic,"054 252 8190
 info@binousgym.com
Opens from 5:00 A.M to 1:00 A.M.
HOME
ABOUT US
PROGRAMS
TRAINERS
GALLERY
B1 STORE
CAREERS
CONTACT US
ABOUT
WHO WE ARE, WHAT WE DO
WHAT WE DO AT BINOUS GYM DUBAI?
Welcome to Binous Gym, Dubai. We provide the ultimate professional bodybuilding training in the region.

Our Personal Trainers are the first place championship winners, and certified from the United States in coaching and nutrition. Binous Gym, Dubai is the place where your dreams of a body you always wanted can come true. Join now and feel the difference from the first week!

Have you always wanted to join a gym but feel like it’s too boring?

Or if you don’t think that getting into good physical condition involves having the right attitude, then think again. Once you discover what should be your true motive for gym membership, you’ll be able to push aside the various hostilities and start to enjoy your gym membership at Binous Gym Dubai more.

There are quite few benefits to signing up for a membership at one of the gyms in Dubai, Binous Gym. Not only will you be able to easily work any part of the body that you improve, you’ll have access to personal trainers, health foods and supplements.

Whether you feel like you need to get in shape or you just want to maintain your current physique, a membership at Binous Gym Dubai is the best way to do that.

YOUR TRANSFORMATION IS OUR PASSION
We are your personal trainer, your nutritionist, your supplement expert.
We provide the knowledge and the tools you need to burn fat, build muscle and become your best self.
0224
MONTHLY CLASSES
Learn More
0000
TRAINED PROFESSIONALS
Meet them
0285
FITNESS EQUIPMENTS
More info
0724
PREMIUM MEMBERSHIPS
Join us
0185
PRODUCT SOLD
Shop Now
BINOUS GYM INSTAGRAM POST
Facebook
TikTok
Instagram
LinkedIn
YouTube
USEFUL LINKS
Fitness Calculator
Anis Binous Awards
Knowledge Base
Testimonials
Join Our Team
Privacy Policy
Terms & Conditions
Membership Policy
DEDICATED TRAINERS SESSIONS
SESSIONS	FEES
1 SESSI"
Champs Sports Club,; 11500183082; 2025-11-03,https://champs-sportsclub.com/,https://champs-sportsclub.com/,,4.5,97,yes,https://www.google.com/maps/place/Champs+Sports+Club/data=!4m7!3m6!1s0x3e5f6bf0f141aab7:0x69f2f279020cfc9b!8m2!3d25.127744!4d55.218802!16s%2Fg%2F11m_d6z3dn!19sChIJt6pB8fBrXz4Rm_wMAnny8mk?authuser=0&hl=en&rclk=1,,champsuae,"Gym
 
Academy
 
Rentals
 
Services
 
About Us
 
Blog
 
Live Map
 
Contact Us
Join Now
About Us
Celebrating Triumphs, Big and Small
Welcome to Champs Sports Club, where every achievement, whether grand or modest, is honored. Join us as we come together as a united team, celebrating victories in the world of sports and beyond.
Meet Our Founder, Fadi El Khatib
A name synonymous with excellence in basketball across Asia and the Arab Countries. Regarded as the region’s all-time best basketball athlete and a role model, Fadi’s journey began in 1996 when he played his first game in the division-one career. From that moment, he emerged as a powerhouse in the sport and an ambassador for fitness in the Middle East.

Today, Fadi’s passion for sports takes on a different form. He founded Champs Sports Club as a premier fitness desitnation and a breeding ground for professional athletes and fitness enthusiasts with diverse sporting interests. On a day-to-day basis, Fadi and his team of international coaches at Champs Sports Club make it their mission to inspire students, athletes, and staff to strive for greatness in all aspects of life.
What We Offer
Basketball
Padel
The Gym
Courts
Events
the mission
At Champs Sports Club, our mission is to create an exclusive platform for Sports & Lifestyle cultural experiences, fostering a vibrant society with fulfilling lives. We are committed to promoting social well-being and a healthy lifestyle through exceptional training and strategic collaborations. Our focus is on providing students and athletes with the best training opportunities, helping them develop their skills and reach their full potential.
the vision
Through our dedication to excellence, diversity, and inclusion, we aim to set a powerful example of greatness and sportsmanship across the Middle Eastern region. We strive to excel in the field of sports, becoming one of the top teams on a regional and global scale. Our relentless pursuit of enabling UAE elite athletes to break th"
GFTeam Dubai,; 913411834836541; 0 0 448 512,https://www.gfteam.ae/,https://www.gfteam.ae/,,4.5,13,yes,https://www.google.com/maps/place/GFTeam+Dubai/data=!4m7!3m6!1s0x3e5f733554f3e669:0x5a741fc86679b2d8!8m2!3d24.984457!4d55.176123!16s%2Fg%2F11yyg54pk1!19sChIJaebzVDVzXz4R2LJ5ZsgfdFo?authuser=0&hl=en&rclk=1,,gfteam_dubai,
Studio Republik Fitness Center LLC,; 2025-12-17; 673918199,https://studio-republik.com/,https://studio-republik.com/,,4.5,239,yes,https://www.google.com/maps/place/Studio+Republik+Fitness+Center+LLC/data=!4m7!3m6!1s0x3e5f430599ad613d:0x2c7d5cc0d59cddfa!8m2!3d25.1312673!4d55.2114735!16s%2Fg%2F11h70l9r0t!19sChIJPWGtmQVDXz4R-t2c1cBcfSw?authuser=0&hl=en&rclk=1,info@studio-republik.com,studiorepublik.ae,"SKIP TO CONTENT
BOOK FREE CLASS – LIMITED TIME
HOME
ADULTS
OPEN ADULTS
JUNIOR
OPEN JUNIOR
SCHEDULE
OPEN SCHEDULE
PERSONAL TRAINING
WELLNESS
 ENGLISH▼
IT SEEMS WE CAN'T FIND WHAT YOU'RE LOOKING FOR.
QUICK LINKS
HOME
BLOG
CONTACT US
BOOK YOUR FREE CLASS – LIMITED TIME
JUNIOR PROGRAMS
MUSIC
DANCE
DRAMA
MARTIAL ARTS
STRENGTH & CONDITIONING
AERIAL
ROBOTICS
ADULTS PROGRAMS
GYM
MUSIC
DANCE
DRAMA
MIND AND BODY
GROUP EXERCISE
MARTIAL ARTS
REFORMER
AERIAL
STRENGTH AND CONDITIONING
 
 

TERMS & CONDITIONS | ALL RIGHTS RESERVED

StudioRepublik and its sister facility FitRepublik are subsidiaries of FI Holdings"
THE LAB STUDIOS,; 794014582509054; 1745315759,http://www.thelabstudios.com/,http://www.thelabstudios.com/,,4.5,81,yes,https://www.google.com/maps/place/THE+LAB+STUDIOS/data=!4m7!3m6!1s0x3e5f6933838291bb:0xe37cccc43a36342b!8m2!3d25.1898943!4d55.2809181!16s%2Fg%2F11tf23kxtj!19sChIJu5GCgzNpXz4RKzQ2OsTMfOM?authuser=0&hl=en&rclk=1,,,"Skip to content
PACKAGES & MEMBERSHIPS
BOOK NOW
DOWNLOAD OUR APP
INFO
THE FORMULA
Search
0
CART
0
Your cart is currently empty.

Browse our carefully curated categories to discover the perfect pieces for your wardrobe.

Page not found

The page you were looking for doesnt exist. You may have mistyped the address or the page may have moved.

CONTINUE SHOPPING
Contact Us
The Workouts
FAQs
Update country/region
English
Update country/region
Afghanistan (AED د.إ)
Åland Islands (AED د.إ)
Albania (AED د.إ)
Algeria (AED د.إ)
Andorra (AED د.إ)
Angola (AED د.إ)
Anguilla (AED د.إ)
Antigua & Barbuda (AED د.إ)
Argentina (AED د.إ)
Armenia (AED د.إ)
Aruba (AED د.إ)
Ascension Island (AED د.إ)
Australia (AED د.إ)
Austria (AED د.إ)
Azerbaijan (AED د.إ)
Bahamas (AED د.إ)
Bahrain (AED د.إ)
Bangladesh (AED د.إ)
Barbados (AED د.إ)
Belarus (AED د.إ)
Belgium (AED د.إ)
Belize (AED د.إ)
Benin (AED د.إ)
Bermuda (AED د.إ)
Bhutan (AED د.إ)
Bolivia (AED د.إ)
Bosnia & Herzegovina (AED د.إ)
Botswana (AED د.إ)
Brazil (AED د.إ)
British Indian Ocean Territory (AED د.إ)
British Virgin Islands (AED د.إ)
Brunei (AED د.إ)
Bulgaria (AED د.إ)
Burkina Faso (AED د.إ)
Burundi (AED د.إ)
Cambodia (AED د.إ)
Cameroon (AED د.إ)
Canada (AED د.إ)
Cape Verde (AED د.إ)
Caribbean Netherlands (AED د.إ)
Cayman Islands (AED د.إ)
Central African Republic (AED د.إ)
Chad (AED د.إ)
Chile (AED د.إ)
China (AED د.إ)
Christmas Island (AED د.إ)
Cocos (Keeling) Islands (AED د.إ)
Colombia (AED د.إ)
Comoros (AED د.إ)
Congo - Brazzaville (AED د.إ)
Congo - Kinshasa (AED د.إ)
Cook Islands (AED د.إ)
Costa Rica (AED د.إ)
Côte d’Ivoire (AED د.إ)
Croatia (AED د.إ)
Curaçao (AED د.إ)
Cyprus (AED د.إ)
Czechia (AED د.إ)
Denmark (AED د.إ)
Djibouti (AED د.إ)
Dominica (AED د.إ)
Dominican Republic (AED د.إ)
Ecuador (AED د.إ)
Egypt (AED د.إ)
El Salvador (AED د.إ)
Equatorial Guinea (AED د.إ)
Eritrea (AED د.إ)
Estonia (AED د.إ)
Eswatini (AED د.إ)
Ethiopia (AED د.إ)
Falkland Islands (AED د.إ)
Faroe Islands (AED د.إ)
Fiji (AED د.إ)
Finland (AED د.إ)
Fr"
Bay Body Space - Fitness Club,,https://www.baybodyspace.ae/,https://www.baybodyspace.ae/,,4.5,204,yes,https://www.google.com/maps/place/Bay+Body+Space+-+Fitness+Club/data=!4m7!3m6!1s0x3e5f69c70fc072b5:0x3bd9d097bb5a3c09!8m2!3d25.190581!4d55.2710488!16s%2Fg%2F11y8dj3h57!19sChIJtXLAD8dpXz4RCTxau5fQ2Ts?authuser=0&hl=en&rclk=1,,,
