business_name,phone,website,cta_url,address,rating,reviews,has_website,maps_url,email,instagram
CondoTrend - Real Estate Agent in Markham,; 176502615; 955611744,https://condotrend.com/,https://condotrend.com/,,5.0,,yes,https://www.google.com/maps/place/CondoTrend+-+Real+Estate+Agent+in+Markham/data=!4m7!3m6!1s0x89d4d384aac5efc1:0x12c68b49e97c2be2!8m2!3d43.825724!4d-79.351038!16s%2Fg%2F11s0t98w4g!19sChIJwe_FqoTT1IkR4it86UmLxhI?authuser=0&hl=en&rclk=1,,
SREAL. | Toronto Real Estate Agent Team,; 1778675560706; 1558715596717-2,https://www.broadviewavenue.ca/,https://www.broadviewavenue.ca/,,5.0,,yes,https://www.google.com/maps/place/SREAL.+%7C+Toronto+Real+Estate+Agent+Team/data=!4m7!3m6!1s0xaa966e860bb33fd3:0xb3dbe7df838effb2!8m2!3d43.668576!4d-79.307335!16s%2Fg%2F11lmcrz7cp!19sChIJ0z-zC4ZulqoRsv-Og9_n27M?authuser=0&hl=en&rclk=1,ken@broadviewavenue.ca; info+webfooter@broadviewavenue.ca; info@broadviewavenue.ca,kennethyimhomes
Wins Lai - Toronto Real Estate Broker,; 1775601646; 16651047736,https://sreal.ca/,https://sreal.ca/,,5.0,196,yes,https://www.google.com/maps/place/Wins+Lai+-+Toronto+Real+Estate+Broker/data=!4m7!3m6!1s0x89d4d3642b7bab87:0x4d990fcbd8df1baa!8m2!3d43.6699886!4d-79.3869227!16s%2Fg%2F11cmz0j98x!19sChIJh6t7K2TT1IkRqhvf2MsPmU0?authuser=0&hl=en&rclk=1,dreambig@sreal.ca,sreal.ca
The Ramos Team | Toronto Real Estate Agents,; 1.85714286; 9999999999,http://www.theramosteam.com/,http://www.theramosteam.com/,,5.0,111,yes,https://www.google.com/maps/place/The+Ramos+Team+%7C+Toronto+Real+Estate+Agents/data=!4m7!3m6!1s0x882b35bec178c983:0x19b18b5575a7426a!8m2!3d43.675637!4d-79.4423741!16s%2Fg%2F11h46bwybw!19sChIJg8l4wb41K4gRakKndVWLsRk?authuser=0&hl=en&rclk=1,philip@theramosteam.com,jerrymchady
The High Park Real Estate Group,; 1778675578; 1463337495521,http://www.highparkrealestate.com/,http://www.highparkrealestate.com/,,5.0,39,yes,https://www.google.com/maps/place/The+High+Park+Real+Estate+Group/data=!4m7!3m6!1s0x882b34306d9aaaab:0x6fbdb80f59c252fe!8m2!3d43.6555587!4d-79.4575117!16s%2Fg%2F11hbw3_sx9!19sChIJq6qabTA0K4gR_lLCWQ-4vW8?authuser=0&hl=en&rclk=1,carlos@mchsol.com,highpark_realestate_group
Fox Marin Associates | Toronto Real Estate Agent Team,; 2026-05-11; 568943134710,https://foxmarin.ca/,https://foxmarin.ca/,,5.0,111,yes,https://www.google.com/maps/place/Fox+Marin+Associates+%7C+Toronto+Real+Estate+Agent+Team/data=!4m7!3m6!1s0x882b34e3caef3803:0x26ac18e339a4174a!8m2!3d43.6558851!4d-79.4091803!16s%2Fg%2F11cmskb8f5!19sChIJAzjvyuM0K4gRShekOeMYrCY?authuser=0&hl=en&rclk=1,hello@foxmarin.ca; deals@foxmarin.ca,_foxmarin
the BREL team East | Toronto Real Estate Agents,; 722633409; 896925223,http://www.getwhatyouwant.ca/,http://www.getwhatyouwant.ca/,,5.0,163,yes,https://www.google.com/maps/place/the+BREL+team+East+%7C+Toronto+Real+Estate+Agents/data=!4m7!3m6!1s0x89d4cb789d362b1d:0x92322182f539c139!8m2!3d43.6645327!4d-79.3524489!16s%2Fg%2F11j371f07x!19sChIJHSs2nXjL1IkROcE59YIhMpI?authuser=0&hl=en&rclk=1,brel@getwhatyouwant.ca; deals@getwhatyouwant.ca,thebrelteam
Danielle in the City - Toronto Real Estate Agent,; 1.3333333333; 2024-09-09,http://danielleinthecity.ca/,http://danielleinthecity.ca/,,5.0,135,yes,https://www.google.com/maps/place/Danielle+in+the+City+-+Toronto+Real+Estate+Agent/data=!4m7!3m6!1s0x882b34e0b0d26cb7:0x577d1352b5dad89!8m2!3d43.6425666!4d-79.3985317!16s%2Fg%2F11fy2lry_c!19sChIJt2zSsOA0K4gRia1dKzXRdwU?authuser=0&hl=en&rclk=1,ddemerino@royallepage.ca,danielleinthecity.ca
Properly Toronto,; 2.1778675600.60; 410040616,https://www.properly.ca/,https://www.properly.ca/,,5.0,169,yes,https://www.google.com/maps/place/Properly+Toronto/data=!4m7!3m6!1s0x882b35f029cc815b:0xc620d05cf4fd30b3!8m2!3d43.6514188!4d-79.3659472!16s%2Fg%2F11grbw8rwg!19sChIJW4HMKfA1K4gRszD99FzQIMY?authuser=0&hl=en&rclk=1,,
Broadview Avenue Group - Toronto Real Estate Agents,; 1778675608128; 1558715596717-2,https://www.broadviewavenue.ca/,https://www.broadviewavenue.ca/,,5.0,196,yes,https://www.google.com/maps/place/Broadview+Avenue+Group+-+Toronto+Real+Estate+Agents/data=!4m7!3m6!1s0x89d4cb3c4c0a6c67:0x93598c2f252dc888!8m2!3d43.6660312!4d-79.3526482!16s%2Fg%2F1tdr491v!19sChIJZ2wKTDzL1IkRiMgtJS-MWZM?authuser=0&hl=en&rclk=1,ken@broadviewavenue.ca; info+webfooter@broadviewavenue.ca; info@broadviewavenue.ca,kennethyimhomes
