business_name,phone,website,cta_url,address,rating,reviews,has_website,maps_url
Being Wear,,http://www.beingwear.com/,http://www.beingwear.com/,,5.0,4,yes,https://www.google.com/maps/place/Being+Wear/data=!4m7!3m6!1s0x6b12afaf1b1c37cf:0x5a4be6e0798beaee!8m2!3d-33.81375!4d151.183394!16s%2Fg%2F11x6f2xvgm!19sChIJzzccG6-vEmsR7uqLeeDmS1o?authuser=0&hl=en&rclk=1
Sydney Online Shop,,https://www.rebelsport.com.au/stores/details/rebel-sydney-city?utm_source=google&utm_medium=organic&utm_campaign=gbpm-sydney-city,https://www.rebelsport.com.au/stores/details/rebel-sydney-city?utm_source=google&utm_medium=organic&utm_campaign=gbpm-sydney-city,,5.0,28,yes,https://www.google.com/maps/place/Sydney+Online+Shop/data=!4m7!3m6!1s0x6b12994e767f4a5d:0xb3717fa82895242a!8m2!3d-33.776526!4d150.923247!16s%2Fg%2F11q7dwg8gg!19sChIJXUp_dk6ZEmsRKiSVKKh_cbM?authuser=0&hl=en&rclk=1
Supply Store,,http://www.supplystore.com.au/,http://www.supplystore.com.au/,,5.0,168,yes,https://www.google.com/maps/place/Supply+Store/data=!4m7!3m6!1s0x6b12ae1723026e5d:0xa7e56749c71dee15!8m2!3d-33.878059!4d151.2146348!16s%2Fg%2F11b740my8k!19sChIJXW4CIxeuEmsRFe4dx0ln5ac?authuser=0&hl=en&rclk=1
OnLine Centre,,http://www.onlinecomputer.com.au/,http://www.onlinecomputer.com.au/,,5.0,12,yes,https://www.google.com/maps/place/OnLine+Centre/data=!4m7!3m6!1s0x6b12ae2389396575:0xf7e9578ee129b4f3!8m2!3d-33.8794619!4d151.2057487!16s%2Fg%2F1td5g8cl!19sChIJdWU5iSOuEmsR87Qp4Y5X6fc?authuser=0&hl=en&rclk=1
IspyBuy - Afterpay Online Shop,,https://www.rebelsport.com.au/stores/details/rebel-sydney-city?utm_source=google&utm_medium=organic&utm_campaign=gbpm-sydney-city,https://www.rebelsport.com.au/stores/details/rebel-sydney-city?utm_source=google&utm_medium=organic&utm_campaign=gbpm-sydney-city,,5.0,1,yes,https://www.google.com/maps/place/IspyBuy+-+Afterpay+Online+Shop/data=!4m7!3m6!1s0x6b12f193c7134ff5:0x18618b2339e24d56!8m2!3d-34.039232!4d150.755846!16s%2Fg%2F11fcslg14j!19sChIJ9U8Tx5PxEmsRVk3iOSOLYRg?authuser=0&hl=en&rclk=1
The Sydney Art Store - Art Supplies,,https://thesydneyartstore.com.au/pages/alexandria-store/,https://thesydneyartstore.com.au/pages/alexandria-store/,,5.0,21,yes,https://www.google.com/maps/place/The+Sydney+Art+Store+-+Art+Supplies/data=!4m7!3m6!1s0x6b12b1c14bc97e2b:0x9e2e17f259d95773!8m2!3d-33.913495!4d151.1951112!16s%2Fg%2F1tfs16s3!19sChIJK37JS8GxEmsRc1fZWfIXLp4?authuser=0&hl=en&rclk=1
BigTrolley Groceries (Online Store),,https://www.bigtrolley.com.au/,https://www.bigtrolley.com.au/,,5.0,163,yes,https://www.google.com/maps/place/BigTrolley+Groceries+%28Online+Store%29/data=!4m7!3m6!1s0x6b12f1fee9c71435:0xfe385b06541a4702!8m2!3d-34.0322225!4d150.7576479!16s%2Fg%2F11s7j8w289!19sChIJNRTH6f7xEmsRAkcaVAZbOP4?authuser=0&hl=en&rclk=1
Anonais Online Store,,https://www.rebelsport.com.au/stores/details/rebel-sydney-city?utm_source=google&utm_medium=organic&utm_campaign=gbpm-sydney-city,https://www.rebelsport.com.au/stores/details/rebel-sydney-city?utm_source=google&utm_medium=organic&utm_campaign=gbpm-sydney-city,,5.0,,yes,https://www.google.com/maps/place/Anonais+Online+Store/data=!4m7!3m6!1s0x6b12af414107ee9d:0x39008af3977d1606!8m2!3d-33.8093358!4d151.1855129!16s%2Fg%2F11zk3q53xm!19sChIJne4HQUGvEmsRBhZ9l_OKADk?authuser=0&hl=en&rclk=1
digiDirect Sydney,,http://www.digidirect.com.au/?utm_source=google&utm_medium=organic&utm_campaign=Google%20My%20Business&utm_content=sydney-store,http://www.digidirect.com.au/?utm_source=google&utm_medium=organic&utm_campaign=Google%20My%20Business&utm_content=sydney-store,,5.0,"3,622",yes,https://www.google.com/maps/place/digiDirect+Sydney/data=!4m7!3m6!1s0x6b12ae3f6f7aa6cf:0xb118e857485d3a34!8m2!3d-33.8687464!4d151.2063756!16s%2Fg%2F1wfvmtb2!19sChIJz6Z6bz-uEmsRNDpdSFfoGLE?authuser=0&hl=en&rclk=1
rebel Sydney City,,https://www.rebelsport.com.au/stores/details/rebel-sydney-city?utm_source=google&utm_medium=organic&utm_campaign=gbpm-sydney-city,https://www.rebelsport.com.au/stores/details/rebel-sydney-city?utm_source=google&utm_medium=organic&utm_campaign=gbpm-sydney-city,,5.0,233,yes,https://www.google.com/maps/place/rebel+Sydney+City/data=!4m7!3m6!1s0x6b12ae3f71c3e101:0x25f7e36612b9864f!8m2!3d-33.8687542!4d151.206712!16s%2Fg%2F1hc1m058y!19sChIJAeHDcT-uEmsRT4a5Embj9yU?authuser=0&hl=en&rclk=1
