business_name,phone,website,cta_url,address,rating,reviews,has_website,maps_url
Reform Athletica Jumeirah,,http://www.reformathletica.com/,http://www.reformathletica.com/,,4.5,38,yes,https://www.google.com/maps/place/Reform+Athletica+Jumeirah/data=!4m7!3m6!1s0x3e5f424698108a65:0xf02cb46f1c95da5f!8m2!3d25.218058!4d55.253208!16s%2Fg%2F11f3zk06zs!19sChIJZYoQmEZCXz4RX9qVHG-0LPA?authuser=0&hl=en&rclk=1
Ultimate Athletics,,https://ultimateathleticsuae.com/,https://ultimateathleticsuae.com/,,4.5,4,yes,https://www.google.com/maps/place/Ultimate+Athletics/data=!4m7!3m6!1s0x3e5f5f2d6e080f89:0x781fc7f38601e314!8m2!3d25.310306!4d55.486654!16s%2Fg%2F11yx9m85x8!19sChIJiQ8Ibi1fXz4RFOMBhvPHH3g?authuser=0&hl=en&rclk=1
GymNation Bur Dubai | Best Gym In Bur Dubai,,https://gymnation.com/gymsnearme/bur-dubai/,https://gymnation.com/gymsnearme/bur-dubai/,,4.5,2,yes,https://www.google.com/maps/place/GymNation+Bur+Dubai+%7C+Best+Gym+In+Bur+Dubai/data=!4m7!3m6!1s0x3e5f43c42c2ebb6b:0xfe6111fc061923cc!8m2!3d25.25007!4d55.30067!16s%2Fg%2F11gy3jnpz1!19sChIJa7suLMRDXz4RzCMZBvwRYf4?authuser=0&hl=en&rclk=1
The Warehouse Gym - Al Quoz,,http://whgym.com/,http://whgym.com/,,4.5,723,yes,https://www.google.com/maps/place/The+Warehouse+Gym+-+Al+Quoz/data=!4m7!3m6!1s0x3e5f6bc21a5b0f63:0x750ec1967705cd3!8m2!3d25.1181504!4d55.2098914!16s%2Fg%2F12m9b_sbp!19sChIJYw9bGsJrXz4R01xwZxnsUAc?authuser=0&hl=en&rclk=1
Binous Gym | Best Bodybuilding Gym in Dubai | Best Gym Dubai | Most Famous Gym Dubai | Most Expensive Bodybuilding Gym,,https://binousgym.com/,https://binousgym.com/,,4.5,261,yes,https://www.google.com/maps/place/Binous+Gym+%7C+Best+Bodybuilding+Gym+in+Dubai+%7C+Best+Gym+Dubai+%7C+Most+Famous+Gym+Dubai+%7C+Most+Expensive+Bodybuilding+Gym/data=!4m7!3m6!1s0x3e5f6beb3c2d0129:0x54a2568440ac8b8f!8m2!3d25.1375842!4d55.2206836!16s%2Fg%2F11fsr7lr17!19sChIJKQEtPOtrXz4Rj4usQIRWolQ?authuser=0&hl=en&rclk=1
Champs Sports Club,,https://champs-sportsclub.com/,https://champs-sportsclub.com/,,4.5,97,yes,https://www.google.com/maps/place/Champs+Sports+Club/data=!4m7!3m6!1s0x3e5f6bf0f141aab7:0x69f2f279020cfc9b!8m2!3d25.127744!4d55.218802!16s%2Fg%2F11m_d6z3dn!19sChIJt6pB8fBrXz4Rm_wMAnny8mk?authuser=0&hl=en&rclk=1
GFTeam Dubai,,https://www.gfteam.ae/,https://www.gfteam.ae/,,4.5,13,yes,https://www.google.com/maps/place/GFTeam+Dubai/data=!4m7!3m6!1s0x3e5f733554f3e669:0x5a741fc86679b2d8!8m2!3d24.984457!4d55.176123!16s%2Fg%2F11yyg54pk1!19sChIJaebzVDVzXz4R2LJ5ZsgfdFo?authuser=0&hl=en&rclk=1
Studio Republik Fitness Center LLC,,https://studio-republik.com/,https://studio-republik.com/,,4.5,239,yes,https://www.google.com/maps/place/Studio+Republik+Fitness+Center+LLC/data=!4m7!3m6!1s0x3e5f430599ad613d:0x2c7d5cc0d59cddfa!8m2!3d25.1312673!4d55.2114735!16s%2Fg%2F11h70l9r0t!19sChIJPWGtmQVDXz4R-t2c1cBcfSw?authuser=0&hl=en&rclk=1
THE LAB STUDIOS,,http://www.thelabstudios.com/,http://www.thelabstudios.com/,,4.5,81,yes,https://www.google.com/maps/place/THE+LAB+STUDIOS/data=!4m7!3m6!1s0x3e5f6933838291bb:0xe37cccc43a36342b!8m2!3d25.1898943!4d55.2809181!16s%2Fg%2F11tf23kxtj!19sChIJu5GCgzNpXz4RKzQ2OsTMfOM?authuser=0&hl=en&rclk=1
Bay Body Space - Fitness Club,,https://www.baybodyspace.ae/,https://www.baybodyspace.ae/,,4.5,204,yes,https://www.google.com/maps/place/Bay+Body+Space+-+Fitness+Club/data=!4m7!3m6!1s0x3e5f69c70fc072b5:0x3bd9d097bb5a3c09!8m2!3d25.190581!4d55.2710488!16s%2Fg%2F11y8dj3h57!19sChIJtXLAD8dpXz4RCTxau5fQ2Ts?authuser=0&hl=en&rclk=1
