business_name,phone,website,cta_url,address,rating,reviews,has_website,maps_url
Exclusive Links Real Estate Brokers Dubai,,https://www.exclusive-links.com/?utm_source=localmaps&utm_medium=gbp&utm_campaign=Dubai&utm_term=listing,https://www.exclusive-links.com/?utm_source=localmaps&utm_medium=gbp&utm_campaign=Dubai&utm_term=listing,,4.8,"1,100",yes,https://www.google.com/maps/place/Exclusive+Links+Real+Estate+Brokers+Dubai/data=!4m7!3m6!1s0x3e5f6b6e103c6881:0x4395964d77b297f2!8m2!3d25.0372546!4d55.1833992!16s%2Fg%2F119w6t49h!19sChIJgWg8EG5rXz4R8peyd02WlUM?authuser=0&hl=en&rclk=1
haus & haus Group,,http://hausandhaus.com/?utm_source=gmb&utm_medium=organic&utm_campaign=haus-gmb,http://hausandhaus.com/?utm_source=gmb&utm_medium=organic&utm_campaign=haus-gmb,,4.8,69,yes,https://www.google.com/maps/place/haus+%26+haus+Group/data=!4m7!3m6!1s0x3e5f6bc67a38bc2f:0xec1ed5e199642b12!8m2!3d25.1262428!4d55.2087658!16s%2Fg%2F11b5vv843j!19sChIJL7w4esZrXz4REitkmeHVHuw?authuser=0&hl=en&rclk=1
Exclusive Links Real Estate Brokers Dubai Marina,,https://www.exclusive-links.com/?utm_source=localmaps&utm_medium=gbp&utm_campaign=Dubaimarina&utm_term=listing,https://www.exclusive-links.com/?utm_source=localmaps&utm_medium=gbp&utm_campaign=Dubaimarina&utm_term=listing,,4.8,37,yes,https://www.google.com/maps/place/Exclusive+Links+Real+Estate+Brokers+Dubai+Marina/data=!4m7!3m6!1s0x3e5f6bdbd897fa6d:0xe646762ef5b09b1f!8m2!3d25.0865588!4d55.147776!16s%2Fg%2F11h7cqvv35!19sChIJbfqX2NtrXz4RH5uw9S52RuY?authuser=0&hl=en&rclk=1
Springfield Properties,,https://springfieldproperties.ae/,https://springfieldproperties.ae/,,4.8,391,yes,https://www.google.com/maps/place/Springfield+Properties/data=!4m7!3m6!1s0x3e5f6beb752b4681:0x4dc01bc0b6a2e73f!8m2!3d25.185424!4d55.280141!16s%2Fg%2F11b6g9vxtw!19sChIJgUYrdetrXz4RP-eitsAbwE0?authuser=0&hl=en&rclk=1
Harbor Real Estate Broker LLC,,https://www.harbordubai.com/,https://www.harbordubai.com/,,4.8,75,yes,https://www.google.com/maps/place/Harbor+Real+Estate+Broker+LLC/data=!4m7!3m6!1s0x3e5f42f2c1738f6f:0x4f4d76043a46fc96!8m2!3d25.2192823!4d55.2797104!16s%2Fg%2F1tc_cr28!19sChIJb49zwfJCXz4RlvxGOgR2TU8?authuser=0&hl=en&rclk=1
Arabian Estates - Real Estate Agency Dubai,,https://www.arabianestates.ae/?utm_source=localmaps&utm_medium=google,https://www.arabianestates.ae/?utm_source=localmaps&utm_medium=google,,4.8,7,yes,https://www.google.com/maps/place/Arabian+Estates+-+Real+Estate+Agency+Dubai/data=!4m7!3m6!1s0x3e5f6dda31c04aa5:0x643505bb9074f0f!8m2!3d25.1061847!4d55.1483619!16s%2Fg%2F11t57n3r3s!19sChIJpUrAMdptXz4RD08HuVtQQwY?authuser=0&hl=en&rclk=1
McCone Properties,,https://www.arabianestates.ae/?utm_source=localmaps&utm_medium=google,https://www.arabianestates.ae/?utm_source=localmaps&utm_medium=google,,4.8,7,yes,https://www.google.com/maps/place/McCone+Properties/data=!4m7!3m6!1s0x3e5f42817b2ccdfd:0x86ec4e428cd29605!8m2!3d25.0964245!4d55.1688941!16s%2Fg%2F1pxwbd8zb!19sChIJ_c0se4FCXz4RBZbSjEJO7IY?authuser=0&hl=en&rclk=1
Al Ayan Real Estate Broker LLC,,https://alayanrealestate.ae/,https://alayanrealestate.ae/,,4.8,170,yes,https://www.google.com/maps/place/Al+Ayan+Real+Estate+Broker+LLC/data=!4m7!3m6!1s0x3e5f66b4be6c3899:0x1b17569416b345e2!8m2!3d25.1641287!4d55.4018828!16s%2Fg%2F11bw4v2796!19sChIJmThsvrRmXz4R4kWzFpRWFxs?authuser=0&hl=en&rclk=1
Linda's Real Estate,,https://alayanrealestate.ae/,https://alayanrealestate.ae/,,4.8,170,yes,https://www.google.com/maps/place/Linda%27s+Real+Estate/data=!4m7!3m6!1s0x3e5f6fd7da96384d:0xf301d8b7203fce76!8m2!3d25.0469133!4d55.2304244!16s%2Fg%2F11k_1mp32p!19sChIJTTiW2tdvXz4Rds4_ILfYAfM?authuser=0&hl=en&rclk=1
Next Level Real Estate - Award Winning Real Estate Agency in Dubai,,https://www.nextlevelrealestate.ae/?utm_source=google&utm_medium=organic&utm_campaign=googlge_my_business,https://www.nextlevelrealestate.ae/?utm_source=google&utm_medium=organic&utm_campaign=googlge_my_business,,4.8,295,yes,https://www.google.com/maps/place/Next+Level+Real+Estate+-+Award+Winning+Real+Estate+Agency+in+Dubai/data=!4m7!3m6!1s0x3e5f69d3345b4265:0x84561af444b75ead!8m2!3d25.1851504!4d55.2755081!16s%2Fg%2F11b7r6npwg!19sChIJZUJbNNNpXz4RrV63RPQaVoQ?authuser=0&hl=en&rclk=1
KAYE & CO REAL ESTATE L.L.C.,,http://www.kayeandco.ae/,http://www.kayeandco.ae/,,4.8,153,yes,https://www.google.com/maps/place/KAYE+%26+CO+REAL+ESTATE+L.L.C./data=!4m7!3m6!1s0x3e5f69cdeba28e23:0xfbd9d0776d4ff574!8m2!3d25.181567!4d55.27151!16s%2Fg%2F11h5ktbmt3!19sChIJI46i681pXz4RdPVPbXfQ2fs?authuser=0&hl=en&rclk=1
ELITE Property Brokerage,,https://www.elitepropertydxb.com/,https://www.elitepropertydxb.com/,,4.8,14,yes,https://www.google.com/maps/place/ELITE+Property+Brokerage/data=!4m7!3m6!1s0x3e5f6bdc0f315f71:0x28863a4e513c4b72!8m2!3d25.0972499!4d55.1684768!16s%2Fg%2F11n8wk9b5r!19sChIJcV8xD9xrXz4Rcks8UU46hig?authuser=0&hl=en&rclk=1
Impressive Real Estate LLC,,https://impressiverealestate.net/,https://impressiverealestate.net/,,4.8,52,yes,https://www.google.com/maps/place/Impressive+Real+Estate+LLC/data=!4m7!3m6!1s0x3e5f433096e7414f:0x2c36f246a95842f7!8m2!3d25.2516171!4d55.3012382!16s%2Fg%2F11rkdnrxlr!19sChIJT0HnljBDXz4R90JYqUbyNiw?authuser=0&hl=en&rclk=1
The Urban Nest Real Estate Broker LLC,,http://www.theurbannest.ae/,http://www.theurbannest.ae/,,4.8,311,yes,https://www.google.com/maps/place/The+Urban+Nest+Real+Estate+Broker+LLC/data=!4m7!3m6!1s0x3e5f6b15b00c8917:0xf9c582e53e16c61e!8m2!3d25.0971529!4d55.1807201!16s%2Fg%2F11f60zhgbg!19sChIJF4kMsBVrXz4RHsYWPuWCxfk?authuser=0&hl=en&rclk=1
