"business_name","phone","website","cta_url","address","rating","reviews","has_website","maps_url"
"Dacha - Real Estate Agents in Dubai Marina","","https://www.dacha.ae/contact/real-estate-agents-in-dubai-marina/","https://www.dacha.ae/contact/real-estate-agents-in-dubai-marina/","","4.8","1,098","yes","https://www.google.com/maps/place/Dacha+-+Real+Estate+Agents+in+Dubai+Marina/data=!4m7!3m6!1s0x3e5f6a001cf55a71:0x4102133a9a1455de!8m2!3d25.0753976!4d55.1398252!16s%2Fg%2F1hg4y7gw8!19sChIJcVr1HABqXz4R3lUUmjoTAkE?authuser=0&hl=en&rclk=1"
"Exclusive Links Real Estate Brokers Dubai","","https://www.exclusive-links.com/?utm_source=localmaps&utm_medium=gbp&utm_campaign=Dubai&utm_term=listing","https://www.exclusive-links.com/?utm_source=localmaps&utm_medium=gbp&utm_campaign=Dubai&utm_term=listing","","4.8","1,100","yes","https://www.google.com/maps/place/Exclusive+Links+Real+Estate+Brokers+Dubai/data=!4m7!3m6!1s0x3e5f6b6e103c6881:0x4395964d77b297f2!8m2!3d25.0372546!4d55.1833992!16s%2Fg%2F119w6t49h!19sChIJgWg8EG5rXz4R8peyd02WlUM?authuser=0&hl=en&rclk=1"
"Exclusive Links Real Estate Brokers Dubai Marina","","https://www.exclusive-links.com/?utm_source=localmaps&utm_medium=gbp&utm_campaign=Dubaimarina&utm_term=listing","https://www.exclusive-links.com/?utm_source=localmaps&utm_medium=gbp&utm_campaign=Dubaimarina&utm_term=listing","","4.8","37","yes","https://www.google.com/maps/place/Exclusive+Links+Real+Estate+Brokers+Dubai+Marina/data=!4m7!3m6!1s0x3e5f6bdbd897fa6d:0xe646762ef5b09b1f!8m2!3d25.0865588!4d55.147776!16s%2Fg%2F11h7cqvv35!19sChIJbfqX2NtrXz4RH5uw9S52RuY?authuser=0&hl=en&rclk=1"
"Next Level Real Estate - Award Winning Real Estate Agency in Dubai","","https://www.nextlevelrealestate.ae/?utm_source=google&utm_medium=organic&utm_campaign=googlge_my_business","https://www.nextlevelrealestate.ae/?utm_source=google&utm_medium=organic&utm_campaign=googlge_my_business","","4.8","295","yes","https://www.google.com/maps/place/Next+Level+Real+Estate+-+Award+Winning+Real+Estate+Agency+in+Dubai/data=!4m7!3m6!1s0x3e5f69d3345b4265:0x84561af444b75ead!8m2!3d25.1851504!4d55.2755081!16s%2Fg%2F11b7r6npwg!19sChIJZUJbNNNpXz4RrV63RPQaVoQ?authuser=0&hl=en&rclk=1"
"Strada Real Estate Brokerage","","http://www.stradauae.com/","http://www.stradauae.com/","","4.8","88","yes","https://www.google.com/maps/place/Strada+Real+Estate+Brokerage/data=!4m7!3m6!1s0x3e5f6b931219ac79:0x6899464b4fea777a!8m2!3d25.1138231!4d55.24615!16s%2Fg%2F11sx0fbtn8!19sChIJeawZEpNrXz4RenfqT0tGmWg?authuser=0&hl=en&rclk=1"
"XSITE REAL ESTATE BROKERS","","https://xsite.ae/","https://xsite.ae/","","4.8","417","yes","https://www.google.com/maps/place/XSITE+REAL+ESTATE+BROKERS/data=!4m7!3m6!1s0x3e5f6d67365b1249:0xe34da7d3431ae963!8m2!3d25.0490292!4d55.2149599!16s%2Fg%2F11rr8159pf!19sChIJSRJbNmdtXz4RY-kaQ9OnTeM?authuser=0&hl=en&rclk=1"
"Linda's Real Estate","","https://www.lindas.ae/","https://www.lindas.ae/","","4.8","1,935","yes","https://www.google.com/maps/place/Linda%27s+Real+Estate/data=!4m7!3m6!1s0x3e5f6fd7da96384d:0xf301d8b7203fce76!8m2!3d25.0469133!4d55.2304244!16s%2Fg%2F11k_1mp32p!19sChIJTTiW2tdvXz4Rds4_ILfYAfM?authuser=0&hl=en&rclk=1"
"Espace","","https://www.espace.ae/","https://www.espace.ae/","","4.8","1,427","yes","https://www.google.com/maps/place/Espace/data=!4m7!3m6!1s0x3e5f6caafe76431f:0x12ab1ebb6386b7e2!8m2!3d25.0753976!4d55.1398252!16s%2Fg%2F11b65j8wln!19sChIJH0N2_qpsXz4R4reGY7seqxI?authuser=0&hl=en&rclk=1"
"Christie’s International Real Estate Dubai","","https://christiesrealestatedubai.com/","https://christiesrealestatedubai.com/","","4.8","143","yes","https://www.google.com/maps/place/Christie%E2%80%99s+International+Real+Estate+Dubai/data=!4m7!3m6!1s0x3e5f6830f402117d:0xfa8d70c0e5ccf3d0!8m2!3d25.1853625!4d55.2791344!16s%2Fg%2F11c761pq6w!19sChIJfREC9DBoXz4R0PPM5cBwjfo?authuser=0&hl=en&rclk=1"
"McCone Properties","","https://www.mcconeproperties.com/?utm_source=googlemaps&utm_medium=organic&utm_campaign=Dubai","https://www.mcconeproperties.com/?utm_source=googlemaps&utm_medium=organic&utm_campaign=Dubai","","4.8","417","yes","https://www.google.com/maps/place/McCone+Properties/data=!4m7!3m6!1s0x3e5f42817b2ccdfd:0x86ec4e428cd29605!8m2!3d25.0964245!4d55.1688941!16s%2Fg%2F1pxwbd8zb!19sChIJ_c0se4FCXz4RBZbSjEJO7IY?authuser=0&hl=en&rclk=1"
"Homes 4 Life Real Estate - Town Square Dubai Office","","https://homes4life.ae/","https://homes4life.ae/","","4.8","20","yes","https://www.google.com/maps/place/Homes+4+Life+Real+Estate+-+Town+Square+Dubai+Office/data=!4m7!3m6!1s0x3e5f710be8f5ccc1:0x6faf0cf2fd75df3a!8m2!3d25.0108187!4d55.2889383!16s%2Fg%2F11hyxqbnms!19sChIJwcz16AtxXz4ROt91_fIMr28?authuser=0&hl=en&rclk=1"
"White & Co Real Estate LLC","","https://homes4life.ae/","https://homes4life.ae/","","4.8","20","yes","https://www.google.com/maps/place/White+%26+Co+Real+Estate+LLC/data=!4m7!3m6!1s0x3e5f6f7f7b199c2b:0xbfd73650c09125c6!8m2!3d25.0469536!4d55.2303258!16s%2Fg%2F11nyc4mk7y!19sChIJK5wZe39vXz4RxiWRwFA2178?authuser=0&hl=en&rclk=1"
"Harbor Real Estate Broker LLC","","https://www.harbordubai.com/","https://www.harbordubai.com/","","4.8","","yes","https://www.google.com/maps/place/Harbor+Real+Estate+Broker+LLC/data=!4m7!3m6!1s0x3e5f42f2c1738f6f:0x4f4d76043a46fc96!8m2!3d25.2192823!4d55.2797104!16s%2Fg%2F1tc_cr28!19sChIJb49zwfJCXz4RlvxGOgR2TU8?authuser=0&hl=en&rclk=1"
"Real Choice Real Estate Brokers LLC","","https://realchoicedubai.com/","https://realchoicedubai.com/","","4.8","92","yes","https://www.google.com/maps/place/Real+Choice+Real+Estate+Brokers+LLC/data=!4m7!3m6!1s0x3e5f694766a9b6d3:0x7696d996f93ee94e!8m2!3d25.2235693!4d55.2809295!16s%2Fg%2F11lk1db9_p!19sChIJ07apZkdpXz4RTuk--ZbZlnY?authuser=0&hl=en&rclk=1"
"haus & haus Group","","http://hausandhaus.com/?utm_source=gmb&utm_medium=organic&utm_campaign=haus-gmb","http://hausandhaus.com/?utm_source=gmb&utm_medium=organic&utm_campaign=haus-gmb","","4.8","69","yes","https://www.google.com/maps/place/haus+%26+haus+Group/data=!4m7!3m6!1s0x3e5f6bc67a38bc2f:0xec1ed5e199642b12!8m2!3d25.1262428!4d55.2087658!16s%2Fg%2F11b5vv843j!19sChIJL7w4esZrXz4REitkmeHVHuw?authuser=0&hl=en&rclk=1"
"KAYE & CO REAL ESTATE L.L.C.","","http://www.kayeandco.ae/","http://www.kayeandco.ae/","","4.8","153","yes","https://www.google.com/maps/place/KAYE+%26+CO+REAL+ESTATE+L.L.C./data=!4m7!3m6!1s0x3e5f69cdeba28e23:0xfbd9d0776d4ff574!8m2!3d25.181567!4d55.27151!16s%2Fg%2F11h5ktbmt3!19sChIJI46i681pXz4RdPVPbXfQ2fs?authuser=0&hl=en&rclk=1"
"Xperience​ Realty Real Estate","","https://www.xrealty.ae/","https://www.xrealty.ae/","","4.8","27","yes","https://www.google.com/maps/place/Xperience%E2%80%8B+Realty+Real+Estate/data=!4m7!3m6!1s0x3e5f69742ae364c3:0xf5f30b07708195fd!8m2!3d25.1143578!4d55.2463352!16s%2Fg%2F11ty7cwknc!19sChIJw2TjKnRpXz4R_ZWBcAcL8_U?authuser=0&hl=en&rclk=1"
"Jade & Co Real Estate","","http://jadeandco.com/","http://jadeandco.com/","","4.8","1,100","yes","https://www.google.com/maps/place/Jade+%26+Co+Real+Estate/data=!4m7!3m6!1s0x3e5f6b1be7a616df:0xf7fcacc8ff90654a!8m2!3d25.096648!4d55.168507!16s%2Fg%2F11ngr2wkd_!19sChIJ3xam5xtrXz4RSmWQ_8is_Pc?authuser=0&hl=en&rclk=1"
"Al Ayan Real Estate Broker LLC","","https://alayanrealestate.ae/","https://alayanrealestate.ae/","","4.8","170","yes","https://www.google.com/maps/place/Al+Ayan+Real+Estate+Broker+LLC/data=!4m7!3m6!1s0x3e5f66b4be6c3899:0x1b17569416b345e2!8m2!3d25.1641287!4d55.4018828!16s%2Fg%2F11bw4v2796!19sChIJmThsvrRmXz4R4kWzFpRWFxs?authuser=0&hl=en&rclk=1"
"Springfield Properties","","https://alayanrealestate.ae/","https://alayanrealestate.ae/","","4.8","295","yes","https://www.google.com/maps/place/Springfield+Properties/data=!4m7!3m6!1s0x3e5f6beb752b4681:0x4dc01bc0b6a2e73f!8m2!3d25.185424!4d55.280141!16s%2Fg%2F11b6g9vxtw!19sChIJgUYrdetrXz4RP-eitsAbwE0?authuser=0&hl=en&rclk=1"
"Roots Land Real Estate","","http://www.rootsland.com/","http://www.rootsland.com/","","4.8","295","yes","https://www.google.com/maps/place/Roots+Land+Real+Estate/data=!4m7!3m6!1s0x3e5f42ed8562ddd1:0x5cf0a84f5bdeb0c0!8m2!3d25.1869613!4d55.2716331!16s%2Fg%2F1tfjtrkz!19sChIJ0d1ihe1CXz4RwLDeW0-o8Fw?authuser=0&hl=en&rclk=1"
